text,seg_label,cls_label,ner_label
比喀山鲁宾少2分而屈居联赛亚军；在波兰甲莱克普斯纳14轮积27分排第二，,O B I I I O O B I B I B I B I O O B I I I I I I I O O B I O O B I B I O,体育,O B-organization I-organization I-organization I-organization O O O O O O O O O O O O B-organization I-organization I-organization I-organization I-organization I-organization I-organization I-organization O O O O O O O O O O O
06.巴黎圣日耳曼vs桑坦德,O O O B I I I I I O O B I I,体育,O O O B-organization I-organization I-organization I-organization I-organization I-organization O O B-organization I-organization I-organization
09.贝尔格莱德游击vs标准列日,O O O B I I I I I I O O B I I I,体育,O O O B-organization I-organization I-organization I-organization I-organization I-organization I-organization O O B-organization I-organization I-organization I-organization
但是他们在波兰联赛中排名第二，最近已经7场比赛不败，主场对南锡，两度领先，具备一定实力。,B I B I O B I I I O B I B I O B I B I O O B I B I O B I O B I O B I B I O B I B I B I O,体育,O O O O O B-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O O
热刺前两轮1胜1负，曾客场不敌小组实力最强的乌迪内，在只有4场比赛的小组赛中，他们要想出线，,B I O B I O O O O O O B I O O B I B I B I O B I I O O B I O O B I O B I I O O B I O O B I O,体育,B-organization I-organization O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O
与前两场客场0-2负纽卡斯尔和主场1-2负米德尔斯堡这两支保级弱旅形成截然不同的反差。,O O B I B I O O O O B I I I O B I O O O O B I I I I O B I B I B I B I B I I I O B I O,体育,O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O O O O B-organization I-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O O O
年青的球队发挥极不稳定，常常惊爆心理冷门；纽卡斯尔虽主场2-2难以战胜保级弱旅维冈竞技，,B I O B I B I O O B I O B I B I B I B I O B I I I O B I O O O B I B I B I B I B I I I O,体育,O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O O O O O O O O O O O B-organization I-organization I-organization I-organization O
●近7次亚特兰大主场对阵拉齐奥，打出了4场平局。,O O O O B I I I B I B I B I I O B I O O O B I O,体育,O O O O B-organization I-organization I-organization I-organization O O O O B-organization I-organization I-organization O O O O O O O O O
普里卡则因为得不到上场机会而闹着要转会，另外迪乌夫和希利一直在养伤。,B I I I B I B I I B I B I O O O O B I O B I B I I O B I B I O B I O,体育,B-name I-name I-name O O O O O O O O O O O O O O O O O O O B-name I-name I-name O B-name I-name O O O O O O
金石开：切尔西和阿森纳似乎都应该有所防范。蓝狮最近连续遭遇冷空气，算上欧冠，他们已经连续3场不胜。,B I I O B I I O B I I B I O B I B I B I O B I B I B I B I B I I O B I B I O B I B I B I O O B I O,体育,B-name I-name I-name O B-organization I-organization I-organization O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O
我相信乌迪最起码也不会输给切沃。,O B I B I B I I O B I B I B I O,体育,O O O B-organization I-organization O O O O O O O O B-organization I-organization O
，拼命在主场成绩排第三位的布里塔尼亚球场抢分，客场尽力死守，毕竟他们距离降级区也仅仅相差两分。,O B I O B I B I O B I I O B I I I I I I B I O B I B I B I O B I B I B I B I O O B I B I B I O,体育,O O O O O O O O O O O O O B-address I-address I-address I-address I-address I-address I-address O O O O O O O O O O O O O O O O O O O O O O O O O O O
姜山：挪威本轮主场面对荷兰。其实荷兰上轮主场对冰岛的表现并不太好，而且同样有不少主力受伤。,B I O B I B I B I B I B I O B I B I B I B I O B I O B I O B I I O B I B I O B I B I B I O,体育,B-name I-name O B-organization I-organization O O O O O O B-organization I-organization O O O B-organization I-organization O O O O O B-organization I-organization O O O O O O O O O O O O O O O O O O O O
但博斯克上任后的四连胜还是没能赢取国内的好评，前三个世界杯外围赛的对手实力相距较远，,O B I I B I O O O B I B I O O B I B I O B I O O B I B I I B I I O B I B I B I O O O,体育,O B-name I-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
但如今希帅上任后4场就丢了6球，幸好他解决了此前球队进球难的老毛病。前锋弗赖伤愈复出后，,O B I B I B I O O O O O O O O O B I O B I O B I B I B I O O B I I O B I B I B I B I O O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-position I-position B-name I-name O O O O O O
这也是两位德国功勋老帅之间的较量，“奥托大帝”雷哈格尔总是以不变应万变。哪怕欧锦赛决赛圈三战皆负，,O O O B I B I B I B I B I O B I O O B I I I O B I I I B I B I I I I I O B I B I I B I I B I O O O,体育,O O O O O O O O O O O O O O O O O O B-name I-name I-name I-name O B-name I-name I-name I-name O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O
卡塔尼亚主场3连胜，而且都是1比0，对手实力均不弱，主教练曾加的用兵颇见功力。这个队防守好，,B I I I B I O B I O B I O O O O O O B I B I O B I O B I I B I O B I O O B I O B I O B I O O,体育,B-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O B-position I-position I-position O O O O O O O O O O O O O O O O O
与主教练过于偏重进攻的战术思想有关。博洛尼亚5连败后战胜拉齐奥，验证了他们的实力，,O B I I B I B I B I O B I B I B I O B I I I O B I O B I B I I O B I O B I O B I O,体育,O B-position I-position I-position O O O O O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O O O B-organization I-organization I-organization O O O O O O O O O O
这次作客到伯纳乌球场就是一次严峻的考验。如果尤文图斯更现实一些，摆出求和的架势，,B I B I O B I I I I B I B I B I O B I O B I B I I I O B I B I O O O B I O B I O,体育,O O O O O B-address I-address I-address I-address I-address O O O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O O O O O O O O O O O
梅塔利斯特57岁的主教练马尔科维奇是乌克兰联赛执教场次最多的现役教练，,B I I I I O O O O B I I B I I I I O B I I B I B I B I B I O B I B I O,体育,B-organization I-organization I-organization I-organization I-organization O O O O B-position I-position I-position B-name I-name I-name I-name I-name O O O O O O O O O O O O O O O O O O
目前佛罗伦萨在欧冠小组赛里已经基本出线无望，,B I B I I I O B I B I I O B I B I B I B I O,体育,O O B-organization I-organization I-organization I-organization O B-organization I-organization O O O O O O O O O O O O O
目前意甲前8名球队积分差距仅有4分，这在近几个赛季倒是绝于仅有的现象，,B I B I O O O B I B I B I O O O O O O O O B I B I O O B I O O O B I O,体育,O O B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
由于当期阿森纳主场0:2负于维拉、斯图加主场0:0战平比勒菲、布莱克主场1:,B I B I B I I B I O O O B I B I O B I I B I O O O B I B I I O B I I B I O O,体育,O O O O B-organization I-organization I-organization O O O O O O O B-organization I-organization O B-organization I-organization I-organization O O O O O O O B-organization I-organization I-organization O B-organization I-organization I-organization O O O O
亚洲杯足球赛的转播评论工作；参与了《世界体育报道》栏目的创立，担任其中《足球总汇》的主持人。,B I I B I I O B I B I B I O B I O B I I I I I I I B I O B I O B I B I B I I I I I O B I I O,体育,B-organization I-organization I-organization O O O O O O O O O O O O O O B-book I-book I-book I-book I-book I-book I-book I-book O O O O O O O O O O B-book I-book I-book I-book I-book I-book O B-position I-position I-position O
卡瓦略和乔·科尔3名主力仍然无法上场，中场少了一个兰帕德，而锋线则多了一个德罗巴。,B I I O B I I I O O B I B I B I B I O B I O O B I B I I O O B I O O O B I B I I O,体育,B-name I-name I-name O B-name I-name I-name I-name O O O O O O O O O O O O O O O O O B-name I-name I-name O O O O O O O O O B-name I-name I-name O
然后才能坐观罗马与波尔多的结果，看看能否捞到小组冠军。与上周末的联赛相比，因伤缺阵的埃辛、,B I B I B I B I O B I I O B I O B I B I O O B I B I O O B I I O B I B I O B I B I O B I O,体育,O O O O O O B-organization I-organization O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-name I-name O
克罗日也受到伤病困扰，作为副队长的中后托尼上周刚刚在斯图加特做了膝部手术，,B I I O B I B I B I O B I B I I O B I B I B I B I O B I I I O O B I B I O,体育,B-name I-name I-name O O O O O O O O O O O O O O O O B-name I-name O O O O O B-address I-address I-address I-address O O O O O O O
主胜比罗马打亚特兰大还低，对主队自然是十分看好。只是以波尔多主帅布兰科的性格，绝对不会坐以待毙。,B I I B I O B I I I O O O O B I B I O B I B I O B I O B I I B I B I I O B I O B I B I B I I I O,体育,O O O B-organization I-organization O B-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O O O B-organization I-organization I-organization B-position I-position B-name I-name I-name O O O O O O O O O O O O O
阿奎拉尼等伤员。不过周一的时候斯帕莱蒂乐观地表示：武西尼奇将有望复出，罗马将全力争胜保住小组第一。,B I I I O B I O B I B I O B I B I I I B I O B I O B I I I O B I B I O B I O B I B I B I B I I I O,体育,B-name I-name I-name I-name O O O O O O O O O O O B-name I-name I-name I-name O O O O O O B-name I-name I-name I-name O O O O O O B-organization I-organization O O O O O O O O O O O O
只有战胜主队的华山一条路才能从小组出线。此役波尔多的左翼温德尔伤愈归队，,B I B I B I O B I B I O B I O B I B I O B I B I I O B I B I I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O B-name I-name I-name O O O O O
在客场2比1战胜克卢日的比赛中，温德尔射入致胜的任意球。罗马则受到伤病的困扰，阵中尚有托内托、,O B I O O O B I B I I O B I O O B I I B I B I O B I I O B I O B I B I O B I O B I B I B I I O,体育,O O O O O O O O B-organization I-organization I-organization O O O O O B-name I-name I-name O O O O O O O O O B-organization I-organization O O O O O O O O O O O O O B-name I-name I-name O
而巴特则在与意大利对手的前4次交锋中输了3次，他们曾在2001/,O B I O O O B I I B I O O O O B I B I O O O O B I O O O O O O O,体育,O B-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
”实际上，那场比赛的失利与热那亚阵容不整也有很大的关系，当时热那亚阵中有斯库利和桑托斯两人停赛，,O B I I O B I B I O B I O B I I B I B I O O B I O B I O B I B I I B I B B I I O B I I B I B I O,体育,O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O B-organization I-organization I-organization O O O B-name I-name I-name O B-name I-name I-name O O O O O
桑普就明显为了周末的德比大战而将中前场主力悉数撤下，,B I O B I B I B I O B I B I O O B I I B I B I O O O,体育,B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O
上轮联赛杯温格就是用娃娃兵3比0将维冈打得抱头鼠串。不过维冈在英超中已经5轮不败，,B I B I I B I B I O B I I O O O B B I B I B I B I O B I B I O B I O B I O O B I O,体育,O O B-organization I-organization I-organization B-name I-name O O O O O O O O O O B-organization I-organization O O O O O O O O O B-organization I-organization O B-organization I-organization O O O O O O O O
因斯对中场的调配效果不理想，也是球队表现不佳的重要原因。2001年重返英超之后，,B I O B I O B I B I O B I O O O B I B I B I O B I B I O O O O O O B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O
斯托克城的总排名尚可，但其客场2平5负，英超客战成绩最差的数据还是暴露出这支球队的实力还是有所欠缺。,B I I I O O B I B I O O O B I O O O O O B I B I B I B I O B I B I B I I B I B I O B I B I B I B I O,体育,B-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O
刚刚被英格兰区域体育记者协会评为东北地区的年度最佳球员和最佳新秀，紧随其后的是唐宁和桑德兰的琼斯。,B I O B I I I I B I I I I I B I B I I I O B I B I B I O B I B I O B I I I O O B I O B I I O B I O,体育,O O O B-address I-address I-address I-address O B-organization I-organization I-organization I-organization I-organization I-organization O O B-address I-address O O O O O O O O O O O O O O O O O O O O O B-name I-name O B-organization I-organization I-organization O B-name I-name O
因斯的球队已经有整整两个月没有在联赛中获胜了。利物浦则有两个麻烦，一个是在周一与西汉姆的比赛前，,B I O B I B I O B I B I O B I O B I O B I O O B I I O O B I B I O B I O O B I O B I I O B I O O,体育,B-name I-name O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O
已经连续有两个月均在降级区附近徘徊。上轮闷和米德尔斯堡之后，表现欠佳的欧文遭到媒体狂批，,B I B I O B I B I O B I O B I B I O B I O O B I I I I B I O B I B I O B I B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization I-organization I-organization O O O O O O O O B-name I-name O O O O O O O
更重要的是受到伤病影响而显得单薄的主力阵容得到充分休息——上轮力克切尔西的首发所有球员，,O B I O O B I B I B I O B I B I O B I I I B I B I B I O O B I B I B I I O B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O
值得注意的是其中切尔西客场倒是5胜两平，其中最近5次做客锐步球场连胜。,B I I I O O B I B I I B I O O O B I I O B I B I O O B I B I I I B I O,体育,O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O B-address I-address I-address I-address O O O
后来又替热刺的197次出场攻入80球，只是爱尔兰前锋需要的适应时间比较长，在国米、,B I O O B I O O O O O B I B I O O O O B I B I I B I B I O B I B I B I O O O B I O,体育,O O O O B-organization I-organization O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O B-organization I-organization O
瓦拉多利德在经过魔鬼赛程的三连败和一球未进的尴尬局面后，上轮以3比0大胜马略卡，,B I I I I O B I B I B I O O B I O B I B I O B I B I O O B I O O O O B I B I I O,体育,B-organization I-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O
马拉加具备较强的西甲征战经验，这支老牌西甲球队擅长捕捉对手的错误，需防平局。,B I I B I B I O B I B I B I O B I B I B I B I B I B I B I O B I O B I B I O,体育,B-organization I-organization I-organization O O O O O B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O
拉科的近况有了明显的回升，就目前的排名比前两个赛季提高了不少，继续紧追第一集团。,B I O B I O O B I O B I O O B I O B I B I B I B I B I O B I O B I B I B I B I O,体育,B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
后防线上的漏洞随即也展示在了对手面前。快速进攻是西班牙人的特点，,B I I O O B I B I O B I O O B I B I O B I B I O B I I I O B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O
输给升班马希洪主要输在阵地进攻能力不强，本场比赛哪一方取胜都会止住名次下滑的趋势。,B I B I I B I B I B I B I B I B I O O O B I B I O B I B I O O B I B I B I O B I O,体育,O O O O O B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
马洛卡已经连续5轮联赛不胜，这5轮联赛的丢球高达12个，状态相当差。反观对手维尔瓦，,B I I B I B I O O B I B I O O O O B I O B I B I O O O O B I B I O O B I B I B I I O,体育,B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O
目前以7分的积分排名联赛倒数第一，两队本场均要为保级而战。本赛季马洛卡有多名主力离队，,B I O O O O B I B I B I B I B I O B I B I O O O B I B I O B I I B I I O B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O
目前球队的训练暂时由助理教练奥斯卡-佩拉尔瑙负责。从目前实力和斗志情况来看，主队均是更胜一筹，,B I B I O B I B I O B I I I B I I I I I I I B I O O B I B I O B I B I B I O B I O O B I I I O,体育,O O O O O O O O O O B-position I-position I-position I-position B-name I-name I-name I-name I-name I-name I-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O
两支排名靠后的球队交手，更看好主场作战的马洛卡，毕竟主队连续两个赛季的主场都击败了维尔瓦，,B I B I O O O B I B I O O B I B I B I O B I I O B I B I B I B I B I O B I O B I O B I I O,体育,O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O
拉科在上轮客场1-0击败阿尔梅利亚，球队取得2连胜，目前该队排名西甲联赛的第7名，状态不错，,B I O O O B I O O O B I B I I I I O B I B I O B I O B I B I B I B I B I O O O O O B I B I O,体育,B-organization I-organization O O O O O O O O O O B-organization I-organization I-organization I-organization I-organization O O O O O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O
姜山：对于热那亚本赛季在实力上有所提升，我是同意的，但比较担心的是他们客场的能力，,B I O B I B I I B I I O B I O B I B I O O O B I O O O B I B I O O B I B I O B I O,体育,B-name I-name O O O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
依然能客场逼和拉齐奥、乌迪内斯和国米等豪强，热那亚的客场能力并不像大家想象的那样差，,B I O B I O O B I I O B I I I O B I O B I O B I I O B I B I O O O B I B I O B I O O,体育,O O O O O O O B-organization I-organization I-organization O B-organization I-organization I-organization I-organization O B-organization I-organization O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O
与标准列日一战首发登场的只有包括门将在内的4名防守球员和中场德尔维奇奥。以桑普对德比的重视程度，,O B I I I B I B I B I O B I B I B I B I O O O B I B I O B I B I I I I O B B I O B I O B I B I O,体育,O B-organization I-organization I-organization I-organization O O O O O O O O O O O B-position I-position O O O O O O O B-position I-position O B-position I-position B-name I-name I-name I-name I-name O O B-organization I-organization O O O O O O O O O
热那亚上下对待本场的比赛的积极性绝对不能小看。,B I I B I B I B I O B I O B I I B I B I B I O,体育,B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O
其中卡塔尼亚的主场积分也与热那亚和国米并列第1。所以我觉得，在这样的赛程安排下，,B I B I I I O B I B I O O B I I O B I B I O O O B I O B I O O B I O B I B I O O,体育,O O B-organization I-organization I-organization I-organization O O O O O O O B-organization I-organization I-organization O B-organization I-organization O O O O O O O O O O O O O O O O O O O O O
我记得当时热那亚的老板普雷茨奥西就下了战书：“考虑到我们是升班马，这样的结果可以接受。下个赛季再见！,O B I B I B I I O B I B I I I I O O O B I O O B I O B I O B I I O B I O B I B I B I O B I B I B I O,体育,O O O O O B-organization I-organization I-organization O B-position I-position B-name I-name I-name I-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
